id,language,product,category
001,id,laptop Lenovo ThinkPad X1 Carbon Gen 11,IT
002,id,PC desktop Dell OptiPlex 7010 Tower,IT
003,id,monitor eksternal ASUS ProArt PA278CV,IT
004,id,mini PC ASUS ExpertCenter PN64,IT
005,id,router Wi-Fi kantor TP-Link Archer AX90 (AX6600),IT
006,id,network switch Cisco CBS250-24T-4G,IT
007,id,network attached storage (NAS) Synology DiskStation DS923+,IT
008,id,printer multi-fungsi HP LaserJet Pro MFP M428fdn,IT
009,id,scanner dokumen Epson WorkForce DS-530 II,IT
010,id,keyboard wireless Logitech MX Keys S,IT
011,id,mouse wireless Logitech MX Master 3S,IT
012,id,headset komunikasi Jabra Evolve2 65,IT
013,id,webcam meeting Logitech Brio 4K Ultra HD,IT
014,id,speakerphone ruang rapat Anker PowerConf S3,IT
015,id,proyektor ruang rapat Epson EB-E500,IT
016,id,uninterruptible power supply (UPS) APC Back-UPS Pro BR1500GI,IT
017,id,hard disk eksternal (backup) WD My Passport Ultra 2TB,IT
018,id,fingerprint dan akses kontrol Secure X100-C,IT
019,id,sistem operasi bisnis Microsoft Windows 11 Pro,IT
020,id,aplikasi produktivitas Lisensi Tahunan Microsoft 365 Business Standard,IT
021,id,pulpen hitam/biru,Office Supplies
022,id,kertas HVS A4,Office Supplies
023,id,stapler logam berlapis plastik,Office Supplies
024,id,isi stapler isi 1000,Office Supplies
025,id,sticky notes ukuran 3x3 inci,Office Supplies
026,id,klip kertas standar dan jumbo,Office Supplies
027,id,gunting kertas 6-8 inci,Office Supplies
028,id,tipe-x kertas,Office Supplies
029,id,penghapus pensil karet sintesis,Office Supplies
030,id,pensil kayu 2B,Office Supplies
031,id,spidol permanen,Office Supplies
032,id,spidol whiteboard,Office Supplies
033,id,pelubang kertas,Office Supplies
034,id,map tulang ukuran A4,Office Supplies
035,id,lakban bening,Office Supplies
036,id,bantalan stempel dan tinta ukuran sedang,Office Supplies
037,id,lem kertas,Office Supplies
038,id,buku agenda ukran A5,Office Supplies
039,id,dispenser selotip meja,Office Supplies
040,id,penjepit kertas besar,Office Supplies
041,id,kabel instalasi dalam dinding PVC,Electrical
042,id,stop kontak lantai,Electrical
043,id,kabel tray,Electrical
044,id,universal adaptor,Electrical
045,id,kabel colokan,Electrical
046,id,lampu LED tube T8,Electrical
047,id,lampu LED downlight inbow,Electrical
048,id,lampu emergency keluar,Electrical
049,id,sensor gerak lampu,Electrical
050,id,dimmer switch LED,Electrical
051,id,kipas angin dinding,Electrical
052,id,stabilizer listrik,Electrical
053,id,digital thermo-hygrometer dinding,Electrical
054,id,smart socket,Electrical
055,id,alat pemantau suhu dan kelembapan,Electrical
056,id,kipas penyedot udara,Electrical
057,id,sakelar putar/sentuh,Electrical
058,id,lampu petunjuk jalur evakuasi,Electrical
059,id,lampu sorot tanam untuk koridor,Electrical
060,id,stop kontak portabel dengan sakelar terpusat,Electrical
061,id,bor tanpa kabel,Tools & Hardware
062,id,gerinda tangan daya listrik 500W-800W,Tools & Hardware
063,id,gergaji ukir listrik,Tools & Hardware
064,id,gergaji serkel,Tools & Hardware
065,id,bor bobok beton,Tools & Hardware
066,id,tang kombinasi,Tools & Hardware
067,id,set obeng,Tools & Hardware
068,id,kunci inggris,Tools & Hardware
069,id,palu kambing 450 gram,Tools & Hardware
070,id,set kunci sok,Tools & Hardware
071,id,kunci L,Tools & Hardware
072,id,meteran gulung,Tools & Hardware
073,id,meteran laser,Tools & Hardware
074,id,waterpas 24 inci,Tools & Hardware
075,id,kotak perkakas,Tools & Hardware
076,id,baut angkur dinding,Tools & Hardware
077,id,gembok pagar,Tools & Hardware
078,id,pipa besi,Tools & Hardware
079,id,mesin las listrik,Tools & Hardware
080,id,baut kecil segi enam,Tools & Hardware
081,id,helm proyek,Safety Equipment
082,id,kacamata pengaman,Safety Equipment
083,id,tameng muka,Safety Equipment
084,id,topeng las otomatis,Safety Equipment
085,id,masker respirator disposable,Safety Equipment
086,id,respirator separuh wajah,Safety Equipment
087,id,alat bantu pernapasan,Safety Equipment
088,id,penyumbat telinga,Safety Equipment
089,id,penutup telinga,Safety Equipment
090,id,sarung tangan tahan potong,Safety Equipment
091,id,sarung tangan tahan kimia,Safety Equipment
092,id,sarung tangan isolasi listrik,Safety Equipment
093,id,sepatu safety,Safety Equipment
094,id,tali pengaman seluruh tubuh,Safety Equipment
095,id,tali penyerap hentakan,Safety Equipment
096,id,rompi keselamatan high-visibility,Safety Equipment
097,id,alat pemadam api ringan (APAR),Safety Equipment
098,id,pencuci mata darurat,Safety Equipment
099,id,kerucut lalu lintas,Safety Equipment
100,id,detektor gas portable,Safety Equipment
101,zh,安全帽ABS/HDPE,Safety Equipment
102,zh,防护眼镜,Safety Equipment
103,zh,防噪音耳塞,Safety Equipment
104,zh,防降噪耳罩,Safety Equipment
105,zh,防尘口罩KN95 / N95,Safety Equipment
106,zh,防毒面具,Safety Equipment
107,zh,安全鞋耐200J冲击,Safety Equipment
108,zh,反光背心120g经编布,Safety Equipment
109,zh,防割手套,Safety Equipment
110,zh,化学防护服,Safety Equipment
111,zh,全身式安全带,Safety Equipment
112,zh,缓冲安全绳,Safety Equipment
113,zh,灭火器4kg,Safety Equipment
114,zh,灭火毯,Safety Equipment
115,zh,橡胶路锥70/90cm,Safety Equipment
116,zh,警戒线/隔离带,Safety Equipment
117,zh,复合式洗眼器12L/min,Safety Equipment
118,zh,安全锁具,Safety Equipment
119,zh,急救箱,Safety Equipment
120,zh,安全标识牌,Safety Equipment
121,zh,电钻750W,Tools & Hardware
122,zh,螺丝刀铬钒钢,Tools & Hardware
123,zh,活动扳手10寸,Tools & Hardware
124,zh,锤子,Tools & Hardware
125,zh,钢丝钳8寸,Tools & Hardware
126,zh,卷尺自动锁定,Tools & Hardware
127,zh,角磨机M10,Tools & Hardware
128,zh,手锯7TPI,Tools & Hardware
129,zh,水平尺带磁性,Tools & Hardware
130,zh,内六角扳手球头,Tools & Hardware
131,zh,美工刀旋钮锁定,Tools & Hardware
132,zh,电工胶带600V,Tools & Hardware
133,zh,工具箱,Tools & Hardware
134,zh,膨胀螺栓304不锈钢,Tools & Hardware
135,zh,热熔胶枪,Tools & Hardware
136,zh,游标卡尺数显,Tools & Hardware
137,zh,挂锁原子钥匙,Tools & Hardware
138,zh,合页/铰链纯铜,Tools & Hardware
139,zh,玻璃胶透明,Tools & Hardware
140,zh,砂纸乳胶耐水纸,Tools & Hardware
141,zh,智能手机6.7 英寸 OLED,Electrical
142,zh,笔记本电脑16GB,Electrical
143,zh,智能电视4K超高清,Electrical
144,zh,家用冰箱500升,Electrical
145,zh,滚筒洗衣机,Electrical
146,zh,变频空调,Electrical
147,zh,微波炉,Electrical
148,zh,空气炸锅5.5升,Electrical
149,zh,电热水壶,Electrical
150,zh,扫地机器人,Electrical
151,zh,吹风机,Electrical
152,zh,空气净化器,Electrical
153,zh,电动牙刷,Electrical
154,zh,无线蓝牙耳机,Electrical
155,zh,数码相机全画幅,Electrical
156,zh,电磁炉,Electrical
157,zh,智能门锁Micro-USB,Electrical
158,zh,投影仪全自动四向校正,Electrical
159,zh,电力测仪,Electrical
160,zh,便携式充电宝,Electrical
161,zh,签字笔,Office Supplies
162,zh,HB六角木制铅笔,Office Supplies
163,zh,荧光笔,Office Supplies
164,zh,白板笔,Office Supplies
165,zh,复印纸,Office Supplies
166,zh,便签纸,Office Supplies
167,zh,笔记本横线本,Office Supplies
168,zh,无线装订本B5,Office Supplies
169,zh,订书机,Office Supplies
170,zh,打孔机,Office Supplies
171,zh,回形针,Office Supplies
172,zh,长尾夹,Office Supplies
173,zh,办公剪刀,Office Supplies
174,zh,美工刀18mm,Office Supplies
175,zh,档案盒,Office Supplies
176,zh,资料册,Office Supplies
177,zh,文件袋,Office Supplies
178,zh,固体胶,Office Supplies
179,zh,透明胶带,Office Supplies
180,zh,双面胶,Office Supplies
181,zh,笔记本电脑,IT
182,zh,台式商务主机,IT
183,zh,一体机电脑,IT
184,zh,便携式平板电脑,IT
185,zh,4K办公显示器,IT
186,zh,便携式投影仪,IT
187,zh,企业级无线路由器,IT
188,zh,企业级交换机,IT
189,zh,IP商务电话,IT
190,zh,激光多功能一体机,IT
191,zh,高速文档扫描仪,IT
192,zh,标签打印机,IT
193,zh,企业级网络存储NAS,IT
194,zh,加密移动硬盘,IT
195,zh,人体工学键鼠套装,IT
196,zh,商务降噪耳机,IT
197,zh,多功能拓展坞,IT
198,zh,不间断电源 UPS,IT
199,zh,垂直人体工学鼠标,IT
200,zh,笔记本电脑 (MacBook Pro 16 英寸),IT
